AAA,FRENCH POLYNESIA,ANAA
AAB,AUSTRALIA,ARRABURY
AAC,EGYPT,AL ARISH INTERNATIONAL AIRPORT
AAD,SUDAN,AD-DABBAH
AAE,ALGERIA,LES SALINES
AAF,UNITED STATES,MUNICIPAL
AAG,BRAZIL,ARAPOTI
AAH,GERMANY,AACHEN/MERZBRUCK
AAI,BRAZIL,ARRAIAS
AAJ,SURINAME,CAYANA AIRSTRIP
AAK,KIRIBATI,ARANUKA
AAL,DENMARK,AALBORG
AAM,SOUTH AFRICA,MALA MALA
AAN,UNITED ARAB EMIRATES,AL AIN
AAO,VENEZUELA,ANACO
AAP,UNITED STATES,ANDRAU AIRPARK
AAQ,RUSSIAN FEDERATION,ANAPA
AAR,DENMARK,AARHUS AIRPORT
AAS,INDONESIA,APALAPSILI
AAT,CHINA,ALTAY
AAU,SAMOA,ASAU
AAV,PHILIPPINES,ALLAH VALLEY
AAW,PAKISTAN,ABBOTTABAD
AAX,BRAZIL,ARAXA
AAY,YEMEN,AL GHAYDAH
AAZ,ANGOLA,AMBRIZ
ABA,RUSSIAN FEDERATION,ABAKAN
ABB,UNITED KINGDOM,RAF STATION
ABC,SPAIN,LOS LLANOS
ABD,IRAN,ABADAN
ABE,UNITED STATES,LEHIGH VALLEY INTERNATIONAL
ABF,KIRIBATI,ABAIANG
ABG,AUSTRALIA,ABINGDON
ABH,AUSTRALIA,ALPHA
ABI,UNITED STATES,MUNICIPAL
ABJ,COTE D'IVOIRE (IVORY COAST),FELIX HOUPHOUET BOIGNY
ABK,ETHIOPIA,KABRI DAR
ABL,UNITED STATES,AMBLER
ABM,AUSTRALIA,BAMAGA INJINOO
ABN,SURINAME,ALBINA
ABO,COTE D'IVOIRE (IVORY COAST),ABOISSO
ABP,PAPUA NEW GUINEA,ATKAMBA
ABQ,UNITED STATES,ALBUQUERQUE INTERNATIONAL
ABR,UNITED STATES,MUNICIPAL
ABS,EGYPT,ABU SIMBEL
ABT,SAUDI ARABIA,AL-AQIQ
ABU,INDONESIA,ATAMBUA
ABV,NIGERIA,NNAMDI AZIKIWE INTERNATIONAL AIRPORT
ABW,PAPUA NEW GUINEA,ABAU
ABX,AUSTRALIA,ALBURY
ABY,UNITED STATES,DOUGHERTY COUNTY
ABZ,"SCOTLAND, UNITED KINGDOM",DYCE
ACA,MEXICO,GENERAL JUAN N. ALVAREZ INTERNATIONAL
ACB,UNITED STATES,ANTRIM COUNTY
ACC,GHANA,KOTOKA
ACD,COLOMBIA,ACANDI
ACE,SPAIN,LANZAROTE
ACH,SWITZERLAND,ALTENRHEIN
ACI,UNITED KINGDOM,THE BLAYE
ACJ,SRI LANKA,ANURADHAPURA
ACK,UNITED STATES,NANTUCKET MEMORIAL
ACL,COLOMBIA,AGUACLARA
ACM,COLOMBIA,ARICA
ACN,MEXICO,INTERNATIONAL
ACO,SWITZERLAND,ASCONA
ACP,IRAN,SAHAND
ACR,COLOMBIA,ARARACUARA
ACS,RUSSIAN FEDERATION,ACHINSK
ACT,UNITED STATES,MUNICIPAL
ACU,PANAMA,ACHUTUPO
ACV,UNITED STATES,ARCATA
ACX,CHINA,XINGYI
ACY,UNITED STATES,ATLANTIC CITY INTL
ACZ,IRAN,ZABOL A/P
ADA,TURKEY,ADANA
ADB,TURKEY,ADNAN MENDERES
ADC,PAPUA NEW GUINEA,ANDAKOMBE
ADD,ETHIOPIA,BOLE INTERNATIONAL
ADE,YEMEN,INTERNATIONAL
ADF,TURKEY,ADIYAMAN
ADG,UNITED STATES,LENAWEE COUNTY
ADH,RUSSIAN FEDERATION,ALDAN
ADI,NAMIBIA,ARANDIS
ADJ,JORDAN,MARKA INTERNATIONAL AIRPORT
ADK,UNITED STATES,ADAK ISLAND NS
ADL,AUSTRALIA,ADELAIDE INTERNATIONAL AIRPORT
ADM,UNITED STATES,ARDMORE MUNICIPAL ARPT
ADN,COLOMBIA,ANDES
ADO,AUSTRALIA,ANDAMOOKA
ADP,SRI LANKA,AMPARA
ADQ,UNITED STATES,KODIAK AIRPORT
ADR,UNITED STATES,ANDREWS
ADS,UNITED STATES,ADDISON AIRPORT
ADT,UNITED STATES,ADA
ADU,IRAN,ARDABIL
ADV,UNITED KINGDOM,ANDOVER
ADW,UNITED STATES,ANDREWS AFB
ADX,UNITED KINGDOM,LEUCHARS
ADY,SOUTH AFRICA,ALLDAYS
ADZ,COLOMBIA,SAN ANDRES ISLAND
AEA,KIRIBATI,ABEMAMA ATOLL
AED,UNITED STATES,ALENEVA
AEG,INDONESIA,AEK GODANG
AEH,CHAD,ABECHER
AEI,SPAIN,ALGECIRAS
AEK,PAPUA NEW GUINEA,ASEKI
AEL,UNITED STATES,ALBERT LEA
AEO,MAURITANIA,AIOUN EL ATROUSS
AEP,ARGENTINA,ARPT. JORGE NEWBERY
AER,RUSSIAN FEDERATION,ADLER/SOCHI
AES,NORWAY,VIGRA
AET,UNITED STATES,ALLAKAKET
AEU,IRAN,ABU MUSA
AEX,UNITED STATES,ALEXANDRIA INTERNATIONAL
AEY,ICELAND,AKUREYRI
AFA,ARGENTINA,SAN RAFAEL
AFD,SOUTH AFRICA,PORT ALFRED
AFF,UNITED STATES,USAF ACADEMY AIRSTRIP
AFI,COLOMBIA,AMALFI
AFK,SRI LANKA,KONDAVATTAVAN TANK
AFL,BRAZIL,ALTA FLORESTA
AFN,UNITED STATES,MUNICIPAL
AFO,UNITED STATES,MUNICIPAL
AFR,PAPUA NEW GUINEA,AFORE
AFS,UZBEKISTAN,ZARAFSHAN
AFT,SOLOMON ISLANDS,AFUTARA AERODROME
AFW,UNITED STATES,FORT WORTH ALLIANCE
AFY,TURKEY,AFYON
AFZ,IRAN,SABZEVAR
AGA,MOROCCO,AGADIR ALMASSIRA
AGB,GERMANY,AUGSBURG - MUEHLHAUSEN
AGC,UNITED STATES,ALLEGHENY COUNTY
AGD,INDONESIA,ANGGI
AGE,GERMANY,FLUGPLATZ
AGF,FRANCE,LA GARENNE
AGG,PAPUA NEW GUINEA,ANGORAM
AGH,SWEDEN,ANGELHOLM
AGI,SURINAME,WAGENINGEN
AGJ,JAPAN,AGUNI
AGK,PAPUA NEW GUINEA,KAGUA
AGL,PAPUA NEW GUINEA,WANIGELA
AGM,GREENLAND,TASIILAQ
AGN,UNITED STATES,ANGOON
AGO,UNITED STATES,MUNICIPAL
AGP,SPAIN,PABLO RUIZ PICASSO
AGQ,GREECE,AGRINION
AGR,INDIA,KHERIA
AGS,UNITED STATES,BUSH FIELD
AGT,PARAGUAY,ALEJO GARCIA
AGU,MEXICO,AGUASCALIENTS
AGV,VENEZUELA,ACARIGUA
AGW,AUSTRALIA,AGNEW
AGX,INDIA,AGATTI ISLAND
AGY,AUSTRALIA,ARGYLE DOWNS
AGZ,SOUTH AFRICA,AGGENEYS
AHA,JAPAN,NAHA AIR FORCE BASE
AHB,SAUDI ARABIA,ABHA
AHC,UNITED STATES,AMEDEE AAF
AHD,UNITED STATES,DOWNTOWN
AHE,FRENCH POLYNESIA,AHE AIRPORT
AHF,UNITED STATES,MUNICIPAL
AHH,UNITED STATES,MUNICIPAL
AHI,INDONESIA,AMAHAI
AHL,GUYANA,AISHALTON
AHN,UNITED STATES,ATHENS
AHO,ITALY,FERTILIA
AHS,HONDURAS,AHUAS
AHT,UNITED STATES,AMCHITKA
AHU,MOROCCO,CHARIF AL IDRISSI
AHY,MADAGASCAR,AMBATOLAHY
AHZ,FRANCE,ALPE D HUEZ
AIA,UNITED STATES,ALLIANCE
AIB,UNITED STATES,ANITA BAY
AIC,MARSHALL ISLANDS,AIROK
AID,UNITED STATES,MUNICIPAL
AIE,PAPUA NEW GUINEA,AIOME
AIF,BRAZIL,ASSIS
AIG,CENTRAL AFRICAN REPUBLIC,YALINGA
AIH,PAPUA NEW GUINEA,AIAMBAK
AII,DJIBOUTI,ALISABIEH
AIK,UNITED STATES,MUNICIPAL
AIL,PANAMA,AILIGANDI
AIM,MARSHALL ISLANDS,AILUK ISLAND
AIN,UNITED STATES,WAINWRIGHT
AIO,UNITED STATES,MUNICIPAL
AIP,MARSHALL ISLANDS,AILINGLAPALAP ISLAND
AIR,BRAZIL,ARIPUANA
AIS,KIRIBATI,ARORAE ISLAND
AIT,COOK ISLANDS,AITUTAKI
AIU,COOK ISLANDS,ATIU ISLAND
AIV,UNITED STATES,GEORGE DOWNER
AIW,NAMIBIA,AI-AIS
AIY,UNITED STATES,BADER FIELD
AIZ,UNITED STATES,LEE C FINE MEMORIAL
AJA,FRANCE,CAMPO DELL ORO
AJF,SAUDI ARABIA,JOUF
AJI,TURKEY,AGRI
AJJ,MAURITANIA,AKJOUJT
AJK,IRAN,ARAAK
AJL,INDIA,AIZAWL
AJN,COMOROS,OUANI
AJO,YEMEN,ALJOUF
AJR,SWEDEN,ARVIDSJAUR
AJS,MEXICO,ABREOJOS
AJU,BRAZIL,SANTA MARIA
AJY,NIGER,AGADES
AKA,CHINA,ANKANG
AKB,UNITED STATES,ATKA
AKC,UNITED STATES,FULTON INTERNATIONAL
AKD,INDIA,AKOLA
AKE,GABON,AKIENI
AKF,LIBYA,KUFRAH
AKG,PAPUA NEW GUINEA,ANGUGANAK
AKH,SAUDI ARABIA,PRINCE SULTAN AIR BASE
AKI,UNITED STATES,AKIAK
AKJ,JAPAN,ASAHIKAWA
AKK,UNITED STATES,AKHIOK SPB
AKL,NEW ZEALAND (AOTEAROA),AUCKLAND INTERNATIONAL
AKM,CHAD,ZAKOUMA
AKN,UNITED STATES,KING SALMON
AKO,UNITED STATES,COLORADO PLAINS REGIONAL AIRPORT
AKP,UNITED STATES,ANAKTUVUK
AKQ,INDONESIA,GUNUNG BATIN
AKR,NIGERIA,AKURE
AKT,CYPRUS,AKROTIRI RAF
AKU,CHINA,AKSU
AKV,CANADA,AKULIVIK
AKW,IRAN,AGHAJARI
AKX,KAZAKHSTAN,AKTYUBINSK
AKY,MYANMAR,CIVIL
ALA,KAZAKHSTAN,ALMATY
ALB,UNITED STATES,ALBANY INTERNATIONAL
ALC,SPAIN,ALICANTE EL ALTET
ALD,PERU,ALERTA
ALE,UNITED STATES,ALPINE
ALF,NORWAY,ALTA
ALG,ALGERIA,HOUARI BOUMEDIENE
ALH,AUSTRALIA,ALBANY
ALI,UNITED STATES,INTERNATIONAL
ALJ,SOUTH AFRICA,KORTDOORN
ALK,ETHIOPIA,ASELA
ALL,ITALY,ALBENGA
ALM,UNITED STATES,MUNICIPAL
ALN,UNITED STATES,ALTON
ALO,UNITED STATES,WATERLOO
ALP,SYRIA,NEJRAB
ALQ,BRAZIL,FEDERAL
ALR,NEW ZEALAND (AOTEAROA),ALEXANDRA
ALS,UNITED STATES,MUNICIPAL
ALT,BRAZIL,ALENQUER
ALU,SOMALIA,ALULA
